;Name;Price
0;"HP 15s\-eq0035nw 15,6\"" AMD Ryzen 5 3500U \- 8GB RAM \- 256GB Dysk \- Win10";2340.00
1;"Lenovo Ideapad L340\-15IRH Gaming 15,6\"" Intel® Core™ i5\-9300HF \- 16GB RAM \- 512GB Dysk \- GTX1050 Grafika \- Win10";3399.00
2;"ASUS TUF Gaming F15 FX506LI\-HN012T 15,6\"" 144Hz Intel® Core™ i5\-10300H \- 8GB RAM \- 512GB Dysk \- GTX1650Ti Grafika \- Win10";3999.00
3;"Lenovo Legion 5 15IMH05H 15,6\"" 144Hz Intel® Core™ i5\-10300H \- 16GB RAM \- 512GB Dysk \- GTX1650Ti Grafika";4049.00
4;"Lenovo Legion 5 15IMH05H 15,6\"" 144Hz Intel® Core™ i5\-10300H \- 8GB RAM \- 512GB Dysk \- GTX1660Ti Grafika \- Win10";4349.00
5;"Lenovo IdeaPad Gaming 3 15ARH05 15,6\"" 120Hz AMD Ryzen 7 4800H \- 16GB RAM \- 512GB Dysk \- GTX1650Ti Grafika";3999.00
6;"Lenovo IdeaPad Gaming 3 15ARH05 15,6\"" 120Hz AMD Ryzen 7 4800H \- 16GB RAM \- 512GB Dysk \- GTX1650Ti Grafika \- Win10";4399.00
7;"Lenovo Legion Y540\-15IRH 15,6\"" Intel® Core™ i5\-9300HF \- 16GB RAM \- 512GB Dysk \- GTX1660Ti Grafika";3899.00
8;"HP OMEN 15\-en0002nw 15,6\"" 144Hz AMD Ryzen 5 4600H \- 16GB RAM \- 512GB Dysk \- GTX1660 Ti Grafika \- Win10";5499.00
9;"Acer Aspire 3 A315\-56 15,6\"" Intel® Core™ i5\-1035G1 \- 8GB RAM \- 512GB Dysk \- Win10";2999.00
10;"Lenovo Legion 5 15ARH05H 15,6\"" 120Hz AMD Ryzen 5 4600H \- 8GB RAM \- 512GB Dysk \- RTX2060 Grafika";3999.00
11;"ASUS X509JA\-EJ073T 15,6\"" Intel® Core™ i3\-1005G1 \- 8GB RAM \- 512GB Dysk \- Win10";2599.00
12;"Apple Macbook Air 13 13,3\"" Intel® Core™ i5\-5360U \- 8GB RAM \- 128GB Dysk \- OS Sierra";3899.00
13;"Acer Nitro 5 15,6\"" Intel® Core™ i5\-9300H \- 8GB RAM \- 512GB SSD Dysk \- GTX1650 Grafika \- Win10";3899.00
14;"ASUS X509JA\-BQ241T 15,6\"" Intel® Core™ i5\-1035G1 \- 8GB RAM \- 512GB Dysk \- Win10";2999.00
15;"ASUS X543MA\-DM621 15,6\"" Intel® Celeron™ N4000 \- 4GB RAM \- 256GB Dysk";1799.00
16;"Lenovo Legion Y540\-15IRH 15,6\"" Intel® Core™ i5\-9300HF \- 8GB RAM \- 512GB Dysk \- GTX1660Ti Grafika \- Win10";3799.00
17;"Apple Macbook Pro M1 13,3\"" Apple M1 \- 8GB RAM \- 256GB Dysk \- macOS (gwiezdna szarość)";6999.00
18;HP 15\-db1047nw 15,6\'\' AMD Ryzen 3 3200U \- 16GB RAM \- 256GB Dysk;2199.00
19;"Apple Macbook Pro M1 13,3\"" Apple M1 \- 8GB RAM \- 256GB Dysk \- macOS (srebrny)";6999.00
20;"HP 15s\-eq0070nw 15,6\"" AMD Ryzen 7 3700U \- 16GB RAM \- 256GB Dysk";2799.00
21;"Huawei MateBook D 14 14\"" Intel® Core™ i5\-10210U \- 8GB RAM \- 256GB Dysk \- Win10";2999.00
22;"Lenovo Legion 5 17IMH05 17,3\"" Intel® Core™ i5\-10300H \- 8GB RAM \- 512GB Dysk \- GTX1650 Grafika";3499.00
23;"HP Pavilion 15\-ec1004nw 15,6\"" AMD Ryzen 5 4600H \- 8GB RAM \- 256GB Dysk \- GTX1050 Grafika";3099.00
24;"ASUS TUF Gaming F15 FX506LI\-HN012 15,6\"" 144Hz Intel® Core™ i5\-10300H \- 8GB RAM \- 512GB Dysk \- GTX1650Ti Grafika";3899.00
25;"Acer Nitro 5 AN515\-43\-R292 15,6\"" AMD Ryzen 5 3550H \- 8GB RAM \- 512GB Dysk \- GTX1650 Grafika";3799.00
26;HP 15\-db1048nw 15,6\'\' AMD Ryzen 3 3200U \- 8GB RAM \- 256GB Dysk;2099.00
27;ASUS ZenBook 14 UM431DA 14\'\' AMD Ryzen 5 3500U \- 8GB RAM \- 512GB Dysk \- Win10;3699.00
28;"Acer Aspire 3 A315\-23\-R9KC 15,6\"" AMD Athlon 3050U \- 8GB RAM \- 512GB Dysk";2199.00
29;HP 15\-db1069nw 15,6\'\' AMD Ryzen 7 3700U \- 16GB RAM \- 512GB Dysk \- Win10;3199.00
30;"MSI GF65 Thin 10UE\-053PL 15,6\""144Hz Intel® Core™ i7\-10750H \- 8GB RAM \- 512GB Dysk \- RTX3060 Grafika \- Win10";6499.00
31;"HP 15s\-eq0028nw 15,6\"" AMD Ryzen 7 3700U \- 16GB RAM \- 512GB Dysk \- Win10";3199.00
32;"HP 15s\-eq0057nw 15,6\"" AMD Ryzen 5 3500U \- 8GB RAM \- 512GB Dysk";2699.00
33;"Lenovo Legion 5 15ARH05H 15,6\"" 120Hz AMD Ryzen 7 4800H \- 16GB RAM \- 512GB Dysk \- RTX2060 Grafika \- Win10";4899.00
34;"MSI GF63 Thin 9SCSR\-1081XPL 15,6\"" Intel® Core™ i5\-9300H \- 8GB RAM \- 512GB Dysk \- GTX1650 Max\-Q Grafika";3899.00
35;"HP 15s\-eq0068nw 15,6\"" AMD Ryzen 7 3700U \- 16GB RAM \- 256GB Dysk \- Win10";2999.00
36;"Lenovo IdeaPad 5 15ARE05 15,6\"" AMD Ryzen 5 4500U \- 8GB RAM \- 512GB Dysk \- Win10";3199.00
37;"Apple Macbook Pro M1 13,3\"" Apple M1 \- 8GB RAM \- 512GB Dysk \- macOS (gwiezdna szarość)";7999.00
38;"Lenovo Legion Y540\-15IRH 15,6\"" Intel® Core™ i7\-9750HF \- 8GB RAM \- 256GB Dysk \- GTX1660Ti Grafika";3799.00
39;"Apple Macbook Air M1 13,3\"" Apple M1 \- 8GB RAM \- 256GB Dysk \- macOS (gwiezdna szarość)";5199.00
40;"Lenovo IdeaPad 5 15ARE05 15,6\"" AMD Ryzen 5 4500U \- 8GB RAM \- 512GB Dysk";2799.00
41;"Lenovo IdeaPad Gaming 3 15ARH05 15,6\"" AMD Ryzen 5 4600H \- 16GB RAM \- 512GB Dysk \- GTX1650 Grafika \- Win10";3699.00
42;"Lenovo Legion 5 15ARH05 15,6\"" 120Hz AMD Ryzen 5 4600H \- 8GB RAM \- 512GB Dysk \- GTX1650 Grafika";3499.00
43;"ASUS TUF Gaming F15 FX506LI\-HN011T 15,6\"" 144Hz Intel® Core™ i5\-10300H \- 16GB RAM \- 512GB Dysk \- GTX1650Ti Grafika \- Win10";4499.00
44;HP 15\-db1049nw 15,6\'\' AMD Ryzen 3 3200U \- 16GB RAM \- 512GB Dysk;2599.00
45;"Acer Swift 3 SF314\-42\-R275 14\"" AMD Ryzen 5 4500U \- 8GB RAM \- 512GB Dysk \- Win10";2999.00
46;"Lenovo Legion Y540\-15IRH 15,6\"" Intel® Core™ i5\-9300HF \- 8GB RAM \- 512GB Dysk \- RTX2060 Grafika";3999.00
47;"MSI GF75 Thin 10SDR\-252PL 17,3\"" 144Hz Intel® Core™ i7\-10750H \- 8GB RAM \- 512GB Dysk \- GTX1660Ti Grafika \- Win10";5699.00
48;HP 15\-db1003nw 15,6\'\' AMD Ryzen 3 3200U \- 4GB RAM \- 256GB Dysk;2299.00
49;"Lenovo Legion 5 15IMH05 15,6\"" 120Hz Intel® Core™ i5\-10300H \- 8GB RAM \- 512GB Dysk \- GTX1650Ti Grafika";3599.00
50;"Acer Swift 3 SF314\-42\-R054 14\"" AMD Ryzen 5 4500U \- 8GB RAM \- 512GB Dysk";2999.00
51;"Lenovo Legion 5 15ARH05H 15,6\"" 144Hz AMD Ryzen 7 4800H \- 16GB RAM \- 512GB Dysk \- GTX1660Ti Grafika";4449.00
52;"Dell Inspiron 3793\-3499 17,3\"" Intel® Core™ i7\-1065G7 \- 8GB RAM \- 512GB Dysk \- MX230 Grafika";3849.00
53;"ASUS TUF Gaming F15 FX506LI\-HN109 15,6\"" 144Hz Intel® Core™ i7\-10870H \- 16GB RAM \- 512GB Dysk \- GTX1650Ti Grafika";4799.00
54;"Acer Aspire 3 A315\-56\-582P 15,6\"" Intel® Core™ i5\-1035G1 \- 8GB RAM \- 512GB Dysk";3399.00
55;HP 15\-db1001nw 15,6\'\' AMD Ryzen 3 3200U \- 8GB RAM \- 256GB Dysk \- Win10;2799.00
56;"Lenovo Legion 5 15IMH05H 15,6\"" 144Hz Intel® Core™ i7\-10750H \- 16GB RAM \- 512GB Dysk \- GTX1660Ti Grafika \- Win10";4849.00
57;"Lenovo Legion 5 15IMH05H 15,6\"" 144Hz Intel® Core™ i5\-10300H \- 8GB RAM \- 512GB Dysk \- GTX1650 Grafika";3549.00
58;"ASUS TUF Gaming F15 FX506LI\-HN039 15,6\"" 144Hz Intel® Core™ i5\-10300H \- 8GB RAM \- 512GB Dysk \- GTX1650Ti Grafika";3999.00
59;"HP 15s\-eq1041nw 15,6\"" AMD Ryzen 5 4500U \- 8GB RAM \- 256GB Dysk";2399.00
60;"Acer Predator Helios 700 17,3\"" 144Hz Intel® Core™ i9\-10980HK \- 64GB RAM \- 2TB SSD Dysk \- RTX2080S Grafika \- Win10";18999.00
61;"ASUS VivoBook S14 M433IA\-EB082 14\"" AMD Ryzen 5 4500U \- 16GB RAM \- 512GB Dysk";3199.00
62;"ASUS VivoBook S14 M433IA\-EB094 14\"" AMD Ryzen 5 4500U \- 16GB RAM \- 512GB Dysk";3199.00
63;"Lenovo Legion Y540\-15IRH 15,6\"" Intel® Core™ i7\-9750H \- 16GB RAM \- 512GB Dysk \- GTX1660Ti Grafika";4199.00
64;"Lenovo Legion 5 15IMH05H 15,6\"" 144Hz Intel® Core™ i5\-10300H \- 16GB RAM \- 512GB Dysk \- RTX2060 Grafika";4449.00
65;"Lenovo Yoga Slim 7 14ARE05 14\"" AMD Ryzen 5 4500U \- 16GB RAM \- 512GB Dysk \- Win10";3999.00
66;"Lenovo Legion 5 17IMH05H 17,3\"" 144Hz Intel® Core™ i7\-10750H \- 16GB RAM \- 512GB Dysk \- GTX1660Ti Grafika";4549.00
67;"Microsoft Surface Go 2 10,5\"" Intel® Pentium™ Gold 4425Y \- 4GB RAM \- 64GB Dysk \- Win10 S + klawiatura";2599.00
68;"Apple Macbook Air M1 13,3\"" Apple M1 \- 8GB RAM \- 256GB Dysk \- macOS (złoty)";5199.00
69;"Lenovo ThinkBook 14 IIL 14\"" Intel® Core™ i5\-1035G1 \- 8GB RAM \- 256GB Dysk \- Win10";3099.00
70;"Lenovo Legion Y540\-15IRH 15,6\"" Intel® Core™ i5\-9300HF \- 16GB RAM \- 512GB Dysk \- GTX1660Ti Grafika \- Win10";4299.00
71;MSI GP66 Leopard 10UE\-202PL 15,6\'\' 144Hz Intel® Core™ i7\-10870H \- 16GB RAM \- 1TB SSD Dysk \- RTX3060 Grafika \- Win10;7999.00
72;HP 15\-db1045nw 15,6\'\' AMD Ryzen 3 3200U \- 4GB RAM \- 512GB Dysk;2599.00
73;"Acer Nitro 5 AN515\-55\-7950 15,6\""144Hz Intel® Core™ i7\-10750H \- 16GB RAM \- 512GB Dysk \- RTX2060 Grafika \- Win10";6299.00
74;"Dell Inspiron 3793\-3482 17,3\"" Intel® Core™ i7\-1065G7 \- 8GB RAM \- 512GB Dysk \- MX230 Grafika \- Win10";4199.00
75;"HP Pavilion 15\-ec1060nw 15,6\"" AMD Ryzen 5 4600H \- 16GB RAM \- 512GB Dysk \- GTX1650Ti Grafika \- Win10";4199.00
76;"Acer Aspire 5 A515\-56\-55YP 15,6\"" Intel® Core™ i5\-1135G7 \- 8GB RAM \- 512 Dysk";3099.00
77;"Lenovo Legion 7 15IMH05H 15,6\"" 144Hz Intel® Core™ i7\-10750H \- 16GB RAM \- 512 Dysk \- RTX2070MQ Grafika";6099.00
78;"Lenovo IdeaPad 5 15IIL05 15,6\"" Intel® Core™ i7\-1065G7 \- 16GB RAM \- 512GB Dysk \- Win10";4099.00
79;Dell Inspiron 5406\-2805 14\'\' Intel® Core™ i3\-1115G4 \- 4GB RAM \- 256GB Dysk \- Win10S;3199.00
80;"Lenovo ThinkBook 15 G2 ITL 15,6\"" Intel® Core™ i5\-1135G7 \- 16GB RAM \- 512GB Dysk \- Win10 Pro";4499.00
81;"Lenovo Legion 5 15ARH05H 15,6\"" 120Hz AMD Ryzen 7 4800H \- 8GB RAM \- 512GB Dysk \- RTX2060 Grafika";4299.00
82;"Apple Macbook Pro M1 13,3\"" Apple M1 \- 8GB RAM \- 512GB Dysk \- macOS (srebrny)";7999.00
83;"Lenovo IdeaPad Gaming 3 15ARH05 15,6\"" 120Hz AMD Ryzen 5 4600H \- 16GB RAM \- 512GB Dysk \- GTX1650Ti Grafika";3699.00
84;"Lenovo Legion 5 15IMH05H 15,6\"" 144Hz Intel® Core™ i5\-10300H \- 16GB RAM \- 1TB SSD Dysk \- GTX1660Ti Grafika \- Win10";4749.00
85;"MSI Stealth 15M A11SDK\-004PL 15,6\"" 144Hz Intel® Core™ i7\-1185G7 \- 16GB RAM \- 512GB Dysk \- GTX1660TiMQ Grafika \- Win10";6999.00
86;"MSI GF63 Thin 10SCSR\-448PL 15,6\"" Intel® Core™ i7\-10750H \- 8GB RAM \- 512GB Dysk \- GTX1650Ti Max\-Q Grafika \- Win10";4799.00
87;"MSI Bravo 15 A4DDR\-241PL 15,6\"" 144Hz AMD Ryzen 5 4600H \- 16GB RAM \- 512GB Dysk \- RX5500M Grafika \- Win10";4699.00
