;Name;Price
0;Lenovo V15-ADA (82C7005YPB);2249
1;ASUS VivoBook 15 X509JA-BQ241T Szary;2999
2;Lenovo Ideapad C340-14API (81N600ATPB);2549
3;ASUS ROG Strix G512LU-HN095;5099
4;Lenovo Ideapad S540-14API (81NH004APB);2699
5;Lenovo Ideapad C340-14API (81N6004XPB);2799
6;DELL Vostro 5301 [N1123VN5301EMEA01_2105];3449
7;Lenovo Ideapad 3-14IIL (81WD00R2PB);2499
8;HP Pavilion Gaming 15-ec1040nw (25Q36EA);3349
9;Lenovo Ideapad S540-14API (81NH004BPB);2799
10;MSI Modern 15 A10M-271PL - czarny;3699
11;Acer Nitro 5 (NH.Q9BEP.00B);4949
12;Lenovo Ideapad 3-14ADA (81W00060PB);1799
13;DELL Latitude 7400;3899
14;Lenovo Ideapad 3-17ADA (81W2006BPB);3099
15;HP 15s-eq0074nw (2P7K7EA);2799
16;HP 15-db1054nw (25Q18EA);2599
17;Lenovo Ideapad 3-17ADA (81W20018PB);2599
18;Apple MacBook Air 13.3'' (MQD32ZE/A);3899
19;HP 15-db1055nw (25Q19EA);2699
20;Lenovo Ideapad 3-15ADA (81W100BBPB);2749
21;Lenovo Ideapad C340-14API (81N6004YPB);2999
22;Lenovo YOGA C940-14IIL (81Q900F7PB);4890
23;ASUS X541SA-DM690 Srebrny;1899
24;ASUS ZenBook UX425EA-BM063T - Szary;4299
25;DELL Inspiron 17 3793-9760 - czarny;3599
26;Lenovo YOGA C740-14IML (81TC00DMPB);4099
27;Huawei MateBook 14 2020;3699
28;ASUS Flip TM420IA-EC117T;2699
29;Asus ExpertBook P2451FA-EB0934R;3349
30;Lenovo V14-ILL (82C4008GPB);2899
31;ASUS VivoBook 15 X515JA-EJ030T Szary;2599
32;ASUS ZenBook UX425EA-BM063R - Szary;4699
33;ASUS X541SA-DM690 Srebrny - 240GB SSD | Windows 10 Home;2399
34;Lenovo Legion 5-15IMH (82AU00H6PB);4199
35;HP 14s-fq0014nw (25R06EA);2149
36;Lenovo Ideapad Flex 5-14IIL (81X100KEPB);3699
37;Lenovo Ideapad 5-14IIL (81YH00L3PB);2699
38;Lenovo Ideapad 3-15ARH Gaming (82EY00EUPB);3599
39;ASUS VivoBook 14 X413EA-EB076T Srebrny;3199
40;Acer Aspire 3 (NX.A0TAA.005) - szary;2799
41;ASUS VivoBook S433EA-EB027T;3649
42;Acer Swift 3 (NX.HJFEP.0037);3199
43;DELL Latitude 7400 - 500GB M.2 PCIe | 16GB;4299
44;DELL Latitude 7400 - 256GB M.2 PCIe | 16GB;4149
45;DELL Inspiron 17 3793-3451 - czarny;3249
46;DELL Latitude 7400 - 256GB M.2 PCIe | 32GB;4449
47;DELL Latitude 7400 - 500GB M.2 PCIe;4099
48;Acer Nitro 5 (NH.Q6ZEP.006);3349
49;HP 14s-fq0013dx (192T6UA) - 128GB M.2 | 8GB;2099
50;HP 14s-fq0013dx (192T6UA) - 480GB M.2 | 8GB;2349
51;DELL Latitude 7400 - 500GB M.2 PCIe | 32GB;4649
52;Acer Nitro 5 (NH.Q9HEP.00H);3999
53;Acer Nitro 5 (NH.Q96EP.00K);4799
54;Lenovo Legion 5-15IMH (81Y600L5PB);4849
55;HP 14s-fq0013dx (192T6UA) - 480GB M.2 | 16GB;2499
56;Lenovo Legion 5-15IMH (81Y600L4PB);4549
57;DELL Inspiron 2w1 5406-2881;2699
58;HP 15s-eq0076nw (2P7K9EA) - 512GB M.2 PCIe | 16GB;3049
59;DELL Vostro 3500 [N3003VN3500EMEA01_2105];3849
60;Lenovo Ideapad L340-17IRH Gaming (81LL00EUPB);3799
61;MSI GL75 Leopard 10SER-259XPL;5299
62;HP Pavilion 15-cw1030nw (21B49EA) Niebieski - 512GB M.2 PCIe | 16GB;3549
63;Acer Predator Helios 300 (NH.Q9VEP.006);7690
64;ASUS TUF Gaming FX506LI-HN039;3499
65;Asus ExpertBook P2451FA-EB0933T - 256GB M.2 PCIe + 1TB HDD | 16GB;2899
66;HP 14s-fq0013dx (192T6UA) - 480GB M.2;2249
67;HP Pavilion Gaming 15-ec1062nw (25Q38EA);3349
68;Lenovo Legion 5-15ARH (82B500A6PB);3599
69;ASUS TUF Gaming FX506LI-HN050 Szary;3749
70;Asus ExpertBook P2451FA-EB0933T - 256GB M.2 PCIe | 16GB;2549
71;ASUS X543MA-DM621T;2399
72;Asus ExpertBook P2451FA-EB0933T - 500GB M.2 PCIe + 1TB HDD | 16GB;3099
73;ASUS X543MA-DM621;1899
74;HP 15s-eq0076nw (2P7K9EA) - 512GB M.2 PCIe | 16GB | Windows 10 Pro;3649
75;Huawei MateBook 13 2020;3599
76;ASUS ZenBook Flip 13 UX363JA-EM005T Szary;3899
77;DELL Inspiron 15 3593-7098 – czarny - 500GB M.2 PCIe;4199
78;HP Pavilion Gaming 15-ec1066nw (25Q43EA);3349
79;Lenovo Legion 5-15IMH (82AU00H9PB);4149
80;Asus ExpertBook P2451FA-EB0933T - 500GB M.2 PCIe | 16GB;2899
81;Lenovo Ideapad 3-17ADA (81W20016PB);1999
82;Lenovo V14-ILL (82C401BRPB) - 256GB M.2 PCIe + 1TB HDD;2849
83;Lenovo Legion 5-15IMH (82AU00H8PB) - 1TB M.2 PCIe + 1TB HDD;4799
84;ASUS TUF Gaming FX506LI-HN011T;3999
85;DELL Inspiron 2w1 5406-2904;3749
86;Lenovo Legion 5-15IMH (82AU00H6PB) - 512GB M.2 PCIe + 960GB SSD;4849
87;Lenovo YOGA C940-14IIL (81Q900F0PB);6690
88;Lenovo Legion 5-15IMH (82AU00HCPB);4749
89;Lenovo V14-ILL (82C401BRPB) - 500GB M.2 PCIe;2899
90;Lenovo V14-ILL (82C401BRPB) - 256GB M.2 PCIe + 1TB HDD | 12GB;2949
91;Lenovo Legion 5-15IMH (81Y600KEPB);4749
92;Lenovo Legion 5-15IMH (82AU00H8PB) - 1TB M.2 PCIe + 960GB SSD;5090
93;ASUS VivoBook S433EA-EB130;3699
94;Lenovo Ideapad 3-14ADA (81W000HLPB);2099
95;Lenovo Legion 5-15IMH (82AU00H7PB);3949
96;Asus ExpertBook P2451FA-EB0933T - 256GB M.2 PCIe + 1TB HDD;2599
97;Asus ExpertBook P2451FA-EB0117T;2949
98;HP 15s-eq0076nw (2P7K9EA) - 512GB M.2 PCIe | Windows 10 Pro;3399
99;Lenovo V15-ADA (82C7000TPB);2649
100;Lenovo Ideapad 3-14ADA (81W000HRPB);2499
101;Lenovo V14-ILL (82C401BRPB) - 256GB M.2 PCIe | 12GB;2799
102;HP 14s-fq0013dx (192T6UA) - 240GB M.2 | 8GB;2199
103;Lenovo Legion 5-15IMH (82AU00H9PB) - 512GB M.2 PCIe + 1TB HDD;4549
104;Lenovo Ideapad C340-14API (81N6004DPB);2299
105;Lenovo V14-ILL (82C401BRPB) - 500GB M.2 PCIe | 12GB;2999
106;ASUS TUF Gaming FX506LI-HN012T;3899
107;Lenovo Ideapad 3-15ARH Gaming (82EY00E8PB);3599
108;Lenovo Ideapad C340-14API (81N6004YPB) - 512GB M.2 PCIe | 12GB;3099
109;HP 14s-fq0013dx (192T6UA);1999
110;HP 255 G7 (150A4EA) Ciemne spopielone srebro;2099
111;HP 15s-eq0071nw (2P7K4EA);3199
112;Lenovo V14-ILL (82C401BRPB) - 500GB M.2 PCIe + 1TB HDD | 12GB;3199
113;Asus ExpertBook P2451FA-EB0933T - 500GB M.2 PCIe + 1TB HDD;2849
114;ASUS TUF Gaming FX506LI-HN109T;4699
115;Lenovo Legion 5-15ARH (82B500A7PB);3799
116;Lenovo Legion 5-15IMH (82AU00H8PB);4349
117;Lenovo V14-ILL (82C401BRPB) - 500GB M.2 PCIe + 1TB HDD;3099
118;Lenovo Legion 5-15IMH (81Y600KFPB);5049
119;HP Pavilion 15-cs3083nw (25Q16EA) Niebieski;3599
120;DELL Inspiron 2w1 5406-2942;4399
121;HP Pavilion Gaming 15-ec1061nw (25Q37EA);2999
122;ASUS VivoBook S433EA-EB033T Biały;3699
123;ASUS Flip TM420IA-EC038T;2499
124;DELL Inspiron 2w1 5406-2898;3999
125;Lenovo V14-ILL (82C401BSPB);2149
126;Asus ExpertBook P2451FA-EB0933T;2349
127;Acer Predator Helios 300 (NH.Q9VEP.004);7490
128;Asus ExpertBook P2451FA-EB0933T - 500GB M.2 PCIe;2649
129;HP 255 G7 (3C079EA) Srebrny;2699
130;Lenovo Legion 5-15IMH (82AU00H7PB) - 1TB M.2 PCIe + 960GB SSD | Windows 10 Pro;5290
131;Acer Predator Helios 300 (NH.Q9VEP.005);7190
132;DELL Vostro 5401 [N4106NVN5401EMEA01_2101];3799
133;DELL Vostro 3501 [N6502VN3501EMEA01_2105];3099
134;HP Pavilion Gaming 15-ec1063nw (25Q39EA);3299
135;HP 15s-eq0076nw (2P7K9EA);2799
136;DELL Latitude 3510 [N016L351015EMEA];4449
137;ASUS TUF Gaming FX505GT-BQ166T;3899
138;DELL Latitude 5510 [S001L551015PL];4499
139;Lenovo ThinkPad E14 (20RA001MPB) Czarny;4449
140;ASUS ZenBook M433IA-EB082T;3499
141;MSI Modern 14 B10MW-264XPL - szary;2849
142;Lenovo Ideapad 3-17ADA (81W2002BPB);2099
143;HP 14s-fq0013dx (192T6UA) - 240GB M.2 | 16GB;2399
144;ASUS VivoBook Gaming 15 X571LI-BN027;4099
145;ASUS ZenBook UX325EA-EG027R - Szary;4299
146;Microsoft Surface GO 2 64GB + klawiatura Type Cover czarna;2499
147;Lenovo Ideapad Flex 5-14IIL (81X100E5PB);3199
148;ASUS VivoBook 14 X413EA-EB075T;3099
149;Lenovo Ideapad 3-14IIL (81WD0043PB);2699
150;Lenovo Legion 5-15IMH (82AU00H7PB) - 1TB M.2 PCIe + 1TB HDD;4349
151;Lenovo Ideapad Flex 5-14ARE (81X20084PB);2949
152;Lenovo Legion 5-15IMH (82AU00H7PB) - 1TB M.2 PCIe | Windows 10 Pro;4849
153;HP 255 G7 (2D200EA) Srebrny;3199
154;DELL Latitude 3510 [N011L351015EMEA];3949
155;ASUS TUF Gaming FX506LI-HN011;3599
156;Lenovo Legion 5-15IMH (82AU00HCPB) - 1TB M.2 PCIe + 960GB SSD;5390
157;HP Pavilion 14-ce3015nw (225T9EA) Biały;2899
158;Lenovo Legion 5-15IMH (82AU00H9PB) - 512GB M.2 PCIe + 960GB SSD;4799
159;Lenovo Legion 5-15IMH (82AU00H9PB) - 512GB M.2 PCIe | Windows 10 Pro;4999
160;Lenovo Ideapad C340-14IML (81TK00C0PB);2799
161;Asus ExpertBook P2451FA-EB0117R;3299
162;Lenovo V15-IIL (82C500R7PB);2599
163;HP 255 G7 (150A3EA) Ciemne spopielone srebro;2499
164;Lenovo Ideapad 3-14IML (81WA003RPB);2999
165;Lenovo Ideapad 5-14ARE (81YM006XPB);2649
166;MSI GF65 Thin 10SDR-639PL;5199
167;Lenovo Ideapad 5-14ARE (81YM0070PB);2949
168;ASUS ZenBook UX425EA-BM027T - Szary;4099
169;HP Pavilion Gaming 15-ec1009nw (25Q27EA);3149
170;Lenovo Legion 5-15IMH (82AU00H7PB) - 1TB M.2 PCIe + 1TB HDD | Windows 10 Pro;5090
171;DELL Inspiron 2w1 5406-3031;3699
172;Lenovo ThinkPad E15 (20T8000VPB);4349
173;Lenovo Legion 5-15IMH (82AU00H7PB) - 1TB M.2 PCIe + 960GB SSD;4649
174;HP 14s-fq0013dx (192T6UA) - 240GB M.2;2149
175;Lenovo Ideapad C340-14API (81N600ASPB);2499
176;MSI Modern 15 A10RBS-453PL - czarny;4499
177;HP 15-da3000ny (2Q8Z9EA);2299
178;Lenovo Ideapad 3-15IMH Gaming (81Y400JAPB);3599
179;Acer Nitro 5 (NH.Q96EP.00K) - 512GB M.2 PCIe + 1TB HDD;5090
180;DELL Inspiron 17 3793-9760 - czarny - 256GB M.2 PCIe + 1TB HDD;3849
181;HP 255 G7 (2D309EA) Srebrny;2799
182;Lenovo Ideapad 3-15ADA (81W100BEPB);2549
183;Lenovo Ideapad Flex 5-14IIL (81X100E6PB);3399
184;Lenovo Legion 5-15IMH (82AU00HCPB) - 1TB M.2 PCIe + 1TB HDD;5190
185;Acer Nitro 5 (NH.Q9HEP.00H) - 512GB M.2 PCIe + 1TB HDD;4299
186;DELL Vostro 5401 [N4106NVN5401EMEA01_2101] - 500GB M.2 PCIe;4049
187;DELL Vostro 3501 [N6502VN3501EMEA01_2105] - 256GB M.2 PCIe | 8GB;3199
188;HP ENVY x360 Convert 15-ed0003nw (21B73EA) Srebrna;4249
189;DELL Inspiron 2w1 5406-2935;4599
190;DELL Latitude 3510 [N008L351015EMEA];3699
191;HP Pavilion Gaming 15-ec1062nw (25Q38EA) - 256GB M.2 PCIe + 1TB HDD;3649
192;ASUS TUF Gaming FX506LI-HN012;3399
193;Lenovo Ideapad 3-14ADA (81W000HLPB) - 512GB M.2 PCIe | 12GB;2249
194;Acer TravelMate P6 (NX.VMPEP.004);3799
195;Lenovo ThinkPad E14 (20T6000UPB);3599
196;Lenovo Legion 5-15IMH (82AU00H9PB) - 512GB M.2 PCIe + 1TB HDD | Windows 10 Pro;5190
197;Lenovo Ideapad 3-17ADA (81W2002DPB);2299
198;HP Pavilion 15-cs3031nw (1F7H8EA) Niebieski;3349
199;ASUS K541SA-DM691T Szary;2199
200;MSI GL75 Leopard 10SER-259XPL - 512GB M.2 PCIe + 1TB HDD;5690
201;Lenovo Ideapad 3-14ADA (81W000HRPB) - 512GB M.2 PCIe | 12GB;2649
202;DELL Vostro 3501 [N6502VN3501EMEA01_2105] - 256GB M.2 PCIe | 16GB;3449
203;ASUS VivoBook S433EA-EB027;3299
204;DELL Inspiron 2w1 5406-2973;4299
205;Lenovo Ideapad 5-14IIL (81YH00FDPB);3099
206;Lenovo V14-ILL (82C401BRPB);2599
207;Lenovo V15-ADA (82C7000TPB) - 256GB M.2 PCIe | 12GB;2849
208;Lenovo V15-IIL (82C500R7PB) - 256GB M.2 PCIe + 1TB HDD;2899
209;Lenovo ThinkBook 14-IIL (20SL003HPB);3399
210;HP Pavilion 15-cs3084nw (25Q17EA) Niebieski;3299
211;HP Pavilion 15-cw1030nw (21B49EA) Niebieski;3299
212;DELL Vostro 5301 [N1123VN5301EMEA01_2105] - 500GB M.2 PCIe;3749
213;ASUS VivoBook 14 X413EA-EB073;2949
214;Lenovo ThinkPad L14 (20U10012PB);4799
215;HP Pavilion Gaming 15-ec1062nw (25Q38EA) - 500GB M.2 PCIe;3699
216;Lenovo ThinkBook 15-IIL (20SM003VPB);4049
217;DELL Latitude 5510 [N001L551015EMEA];4699
218;Lenovo V15-ADA (82C7000TPB) - 500GB M.2 PCIe + 1TB HDD | 12GB;3249
219;ASUS VivoBook M433IA-EB001;2899
220;Lenovo V14-ILL (82C40185PB);2799
221;DELL Latitude 5510 [S001L551015PL] - 500GB M.2 PCIe;4699
